iteration,image,pnp_correspondences,pnp_inliers,pnp_inlier_ratio,coverage_score,mean_track_length,median_reprojection_error_px,p90_reprojection_error_px,hard_gate_passed,score,selected,reason
3,IMG_20260518_203902.jpg,1,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203904.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203906.jpg,3,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203908.jpg,0,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203909.jpg,1,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203913.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203922.jpg,15,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203924.jpg,16,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203926.jpg,22,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203929.jpg,10,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203935.jpg,48,46,0.9583333333333334,0.375,2.0,2.2623555572881155,4.862745209772074,True,46,False,
3,IMG_20260518_203937.jpg,55,50,0.9090909090909091,0.3125,2.0,1.2395644735281661,2.5077936211702503,True,50,True,
3,IMG_20260518_203940.jpg,41,37,0.9024390243902439,0.375,2.0,0.7078814136319556,2.009576303351972,True,37,False,
3,IMG_20260518_203942.jpg,17,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203946.jpg,1,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203948.jpg,1,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203902.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203904.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203906.jpg,5,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203908.jpg,3,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203909.jpg,1,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203913.jpg,6,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203922.jpg,25,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203924.jpg,27,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203926.jpg,34,25,0.7352941176470589,0.125,2.52,1.221790810652334,2.879787612644468,False,0.0,False,below PnP inlier threshold
4,IMG_20260518_203929.jpg,30,27,0.9,0.1875,2.185185185185185,1.5541237005867554,3.4694997110830537,False,0.0,False,below PnP inlier threshold
4,IMG_20260518_203935.jpg,99,76,0.7676767676767676,0.375,2.3421052631578947,1.9572113804641242,3.6642804187929547,True,76,False,
